# StatLean API index — 614 declarations
# Generated by scripts/gen_statlean_index.py
# Format: name<TAB>file:line<TAB>kind
# Usage: grep -i '<keyword>' theme/statlean_api_index.tsv
gaussian_poincare_1d_core	Statlean/Gaussian/Poincare.lean:441	theorem
gaussian_poincare_coord_bound_core	Statlean/Gaussian/Poincare.lean:938	theorem
gaussian_poincare_of_condVar_sum	Statlean/Gaussian/Poincare.lean:71	theorem
gaussian_poincare_of_efron_stein	Statlean/Gaussian/Poincare.lean:44	theorem
gaussian_poincare_of_integral_bound	Statlean/Gaussian/Poincare.lean:34	theorem
generateFrom_piSys	Statlean/Variance/EfronStein.lean:292	private lemma
geodesic_log_cholesky	Statlean/SPD/Geodesic.lean:18	theorem
glivenko_cantelli	Statlean/LimitTheorems/Convergence.lean:446	theorem
grossErrorSensitivity	Statlean/Estimator/Robust.lean:34	noncomputable def
hasDerivAt_abel_sinc	Statlean/LimitTheorems/BerryEsseen.lean:607	private lemma
hasDerivAt_arctan_div	Statlean/LimitTheorems/BerryEsseen.lean:637	private lemma
hasDerivAt_f_mul_psi_eps	Statlean/Entropy/LogSobolev.lean:374	lemma
hasDerivAt_gaussianPDFReal_std	Statlean/Gaussian/Basic.lean:132	lemma
hasDerivAt_hermiteEval	Statlean/Gaussian/Hermite.lean:62	lemma
hasDerivAt_hermiteEval_mul	Statlean/Gaussian/Hermite.lean:67	lemma
hasDerivAt_hermiteEval_mul_gaussianPDF	Statlean/Gaussian/Hermite.lean:335	private lemma
hasDerivAt_regularized_log	Statlean/Entropy/LogSobolev.lean:349	lemma
hasDerivAt_slice	Statlean/Entropy/LogSobolev.lean:706	private lemma
hasDerivAt_sq_of_hasDerivAt	Statlean/Entropy/LogSobolev.lean:158	lemma
hasSubgaussianMGF_centered_of_lipschitz_stdGaussianPi	Statlean/SubGaussian/Herbst.lean:70	private lemma
helly_selection	Statlean/LimitTheorems/Convergence.lean:492	theorem
herbstBound_neg	Statlean/SubGaussian/Herbst.lean:51	lemma
herbst_argument	Statlean/SubGaussian/Herbst.lean:94	theorem
herbst_argument_core	Statlean/SubGaussian/Herbst.lean:79	theorem
herbst_argument_of_bound	Statlean/SubGaussian/Herbst.lean:43	theorem
hermiteCoeff	Statlean/Gaussian/Poincare.lean:110	private def
hermiteCoeff_zero	Statlean/Gaussian/Poincare.lean:114	private lemma
hermiteEval	Statlean/Gaussian/Hermite.lean:60	abbrev
hermiteNorm	Statlean/Gaussian/Hermite.lean:221	noncomputable def
hermiteNormLp_orthogonal_eq_bot	Statlean/Gaussian/Poincare.lean:297	private lemma
