NAME	KIND
BoundedContinuousFunction.lipschitz_compContinuous	thm
BoundedContinuousFunction.lipschitz_eval_const	thm
BoundedContinuousFunction.lipschitz_evalx	thm
BoundedContinuousFunction.map_bounded'	thm
BoundedContinuousFunction.measurable_coe_ennreal_comp	thm
BoundedContinuousFunction.memLp_top	thm
BoundedContinuousFunction.mem_Lp	thm
BoundedContinuousFunction.mem_charPoly	thm
BoundedContinuousFunction.mk	ctor
BoundedContinuousFunction.mk.congr_simp	thm
BoundedContinuousFunction.mk.inj	thm
BoundedContinuousFunction.mkOfBound	def
BoundedContinuousFunction.mkOfBound.congr_simp	thm
BoundedContinuousFunction.mkOfBound_coe	thm
BoundedContinuousFunction.mkOfCompact	def
BoundedContinuousFunction.mkOfCompact.congr_simp	thm
BoundedContinuousFunction.mkOfCompact_add	thm
BoundedContinuousFunction.mkOfCompact_apply	thm
BoundedContinuousFunction.mkOfCompact_neg	thm
BoundedContinuousFunction.mkOfCompact_one	thm
BoundedContinuousFunction.mkOfCompact_star	thm
BoundedContinuousFunction.mkOfCompact_sub	thm
BoundedContinuousFunction.mkOfCompact_zero	thm
BoundedContinuousFunction.mkOfDiscrete	def
BoundedContinuousFunction.mkOfDiscrete_apply	thm
BoundedContinuousFunction.mul_apply	thm
BoundedContinuousFunction.natCast_apply	thm
BoundedContinuousFunction.neg_apply	thm
BoundedContinuousFunction.neg_norm_le_apply	thm
BoundedContinuousFunction.nndist_coe_le_nndist	thm
BoundedContinuousFunction.nndist_eq	thm
BoundedContinuousFunction.nndist_eq_iSup	thm
BoundedContinuousFunction.nndist_le_two_nnnorm	thm
BoundedContinuousFunction.nndist_set_exists	thm
BoundedContinuousFunction.nnnorm	def
BoundedContinuousFunction.nnnorm_coeFn_eq	thm
BoundedContinuousFunction.nnnorm_coe_le_nnnorm	thm
BoundedContinuousFunction.nnnorm_const_eq	thm
BoundedContinuousFunction.nnnorm_const_le	thm
BoundedContinuousFunction.nnnorm_def	thm
BoundedContinuousFunction.nnnorm_eq_iSup_nnnorm	thm
BoundedContinuousFunction.nnnorm_le	thm
BoundedContinuousFunction.nnrealPart	def
BoundedContinuousFunction.nnrealPart_coeFn_eq	thm
BoundedContinuousFunction.normComp	def
BoundedContinuousFunction.norm_coe_le_norm	thm
BoundedContinuousFunction.norm_compContinuous_le	thm
BoundedContinuousFunction.norm_const_eq	thm
BoundedContinuousFunction.norm_const_le	thm
BoundedContinuousFunction.norm_def	thm
BoundedContinuousFunction.norm_eq	thm
BoundedContinuousFunction.norm_eq_iSup_norm	thm
BoundedContinuousFunction.norm_eq_of_nonempty	thm
BoundedContinuousFunction.norm_eq_zero_of_empty	thm
BoundedContinuousFunction.norm_integral_le_mul_norm	thm
BoundedContinuousFunction.norm_integral_le_norm	thm
BoundedContinuousFunction.norm_le	thm
BoundedContinuousFunction.norm_le_of_nonempty	thm
BoundedContinuousFunction.norm_lt_iff_of_compact	thm
BoundedContinuousFunction.norm_lt_iff_of_nonempty_compact	thm
BoundedContinuousFunction.norm_mkOfCompact	thm
BoundedContinuousFunction.norm_normComp	thm
BoundedContinuousFunction.norm_ofNormedAddCommGroup_le	thm
BoundedContinuousFunction.norm_sub_nonneg	thm
